,Cor,Habitantes,Semana,Óbitos,Óbitos por 100 mil
196,Preta,736083,SE_20 51,50420.0,6849.771017670561
197,Amarela,246244,SE_20 51,12537.0,5091.2915644645145
198,Parda,3433218,SE_20 51,132555.0,3860.9549408164585
199,Indígena,12977,SE_20 51,421.0,3244.2012791862526
200,Branca,6824668,SE_20 52,351724.0,5153.715902370635
201,Preta,736083,SE_20 52,52501.0,7132.483700886993
202,Amarela,246244,SE_20 52,13066.0,5306.1191338672215
203,Parda,3433218,SE_20 52,137858.0,4015.4164402027486
204,Indígena,12977,SE_20 52,437.0,3367.4963396778917
205,Branca,6824668,SE_20 53,366021.0,5363.205946428457
206,Preta,736083,SE_20 53,54609.0,7418.864448710267
207,Amarela,246244,SE_20 53,13610.0,5527.038222251101
208,Parda,3433218,SE_20 53,143225.0,4171.7420798795765
209,Indígena,12977,SE_20 53,453.0,3490.791400169531
